control_id,control_title,principle
3.1.3,Cyber Security Policy,Cyber Security Leadership and Governance
3.3.17,Vulnerability Management,Cyber Security Operations and Technology
3.3.14,Cyber Security Event Management,Cyber Security Operations and Technology
3.3.15,Cyber Security Incident Management,Cyber Security Operations and Technology
3.3.5,Identity and Access Management,Cyber Security Operations and Technology
3.3.8,Infrastructure Security,Cyber Security Operations and Technology
3.3.9,Cryptography,Cyber Security Operations and Technology
3.3.4,Cyber Security Architecture,Cyber Security Operations and Technology
